"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"08-Nov-2024","EQ","256.20","258.12","245.90","255.22","247.00","248.73","252.40","298.25","112.50","4,86,76,279","12,28,57,35,748.34","3,39,520"
"07-Nov-2024","EQ","257.00","262.45","254.00","254.94","254.95","255.22","259.32","298.25","112.50","5,69,67,827","14,77,27,05,756.08","3,77,476"
"06-Nov-2024","EQ","243.30","256.14","243.30","241.87","255.80","254.94","251.48","298.25","112.50","6,17,27,658","15,52,32,94,898.03","4,44,227"
"05-Nov-2024","EQ","244.00","246.35","239.45","245.08","241.40","241.87","242.15","298.25","112.50","4,20,81,056","10,18,97,71,191.38","2,80,127"
"04-Nov-2024","EQ","242.93","246.99","240.00","248.99","244.25","245.08","242.95","298.25","112.50","4,91,86,567","11,94,99,09,217.64","4,61,147"
"01-Nov-2024","EQ","244.40","250.00","244.15","241.75","249.90","248.99","248.73","298.25","103.25","1,30,09,914","3,23,59,96,942.18","1,39,299"
"31-Oct-2024","EQ","248.00","248.80","240.40","246.85","241.50","241.75","243.94","298.25","103.25","3,67,37,366","8,96,18,42,471.35","3,52,991"
"30-Oct-2024","EQ","249.15","250.50","245.05","252.25","247.90","246.85","247.35","298.25","103.25","4,83,99,791","11,97,15,28,189.40","3,24,390"
"29-Oct-2024","EQ","254.95","255.90","248.45","253.95","252.00","252.25","251.74","298.25","103.25","3,02,38,688","7,61,23,66,021.55","1,92,035"
"28-Oct-2024","EQ","252.00","259.25","247.10","253.80","254.00","253.95","253.65","298.25","103.25","4,10,28,381","10,40,68,19,956.50","2,95,087"
"25-Oct-2024","EQ","256.00","257.95","246.50","254.30","251.95","253.80","251.10","298.25","101.25","6,68,29,144","16,78,06,35,163.75","3,97,924"
"24-Oct-2024","EQ","267.20","268.40","252.55","264.05","254.80","254.30","257.79","298.25","101.25","6,03,52,258","15,55,80,18,449.55","3,60,701"
"23-Oct-2024","EQ","256.35","268.00","242.10","256.35","264.00","264.05","257.57","298.25","101.25","16,16,02,998","41,62,37,71,735.65","8,90,245"
"22-Oct-2024","EQ","267.00","270.90","252.75","265.70","256.55","256.35","261.87","298.25","101.25","6,99,63,412","18,32,11,00,995.65","3,87,863"
"21-Oct-2024","EQ","258.00","267.00","254.50","257.45","265.15","265.70","260.81","298.25","101.25","8,83,16,113","23,03,40,38,064.90","5,03,361"
"18-Oct-2024","EQ","256.90","270.30","255.25","270.55","259.20","257.45","261.06","298.25","101.25","10,80,15,952","28,19,89,30,951.00","5,87,036"
"17-Oct-2024","EQ","275.00","275.15","268.60","274.25","270.30","270.55","271.34","298.25","101.25","2,52,28,600","6,84,55,63,870.35","2,33,011"
"16-Oct-2024","EQ","279.00","279.40","273.00","279.55","274.45","274.25","275.50","298.25","101.25","2,08,72,032","5,75,02,35,228.35","1,77,786"
"15-Oct-2024","EQ","283.00","283.00","276.10","280.05","279.55","279.55","279.06","298.25","101.25","2,39,88,729","6,69,43,69,974.90","2,11,828"
"14-Oct-2024","EQ","280.90","285.25","278.00","277.55","278.70","280.05","281.52","298.25","101.25","4,52,17,362","12,72,97,73,863.05","4,22,301"
"11-Oct-2024","EQ","276.40","279.00","275.50","275.35","276.70","277.55","277.08","298.25","101.00","1,71,26,335","4,74,53,07,267.30","1,70,018"
"10-Oct-2024","EQ","280.50","282.45","274.10","279.95","275.30","275.35","277.15","298.25","101.00","3,89,04,819","10,78,24,63,736.50","2,26,500"
"09-Oct-2024","EQ","279.00","290.00","275.35","278.70","279.75","279.95","283.73","298.25","101.00","6,29,67,866","17,86,60,95,854.70","4,00,692"
"08-Oct-2024","EQ","266.00","280.90","262.60","266.10","279.80","278.70","274.46","298.25","101.00","6,89,58,719","18,92,62,59,552.65","3,76,504"
"07-Oct-2024","EQ","278.55","279.00","261.60","275.30","265.00","266.10","267.17","298.25","101.00","5,13,81,672","13,72,75,38,457.05","3,82,593"
"04-Oct-2024","EQ","267.00","277.85","264.10","269.00","274.65","275.30","273.49","298.25","100.00","5,91,02,827","16,16,37,68,343.40","3,42,016"
"03-Oct-2024","EQ","269.70","272.45","268.00","274.15","268.85","269.00","269.93","298.25","100.00","4,07,91,499","11,01,07,51,706.05","3,79,534"
"01-Oct-2024","EQ","272.55","276.45","271.30","273.30","274.45","274.15","273.87","298.25","100.00","3,21,10,540","8,79,40,19,941.45","2,41,486"
"30-Sep-2024","EQ","277.90","277.90","272.45","278.15","272.90","273.30","274.35","298.25","100.00","4,09,76,919","11,24,21,53,803.40","3,60,426"
"27-Sep-2024","EQ","275.40","286.90","273.50","283.90","278.00","278.15","280.65","298.25","97.75","5,88,12,631","16,50,57,62,743.50","4,00,634"
"26-Sep-2024","EQ","285.40","285.90","278.50","285.40","284.00","283.90","282.23","298.25","97.75","3,90,57,810","11,02,33,91,149.55","3,06,593"
"25-Sep-2024","EQ","291.80","291.85","283.05","291.70","286.00","285.40","285.85","298.25","97.75","4,76,85,746","13,63,08,53,572.05","2,99,869"
"24-Sep-2024","EQ","298.00","298.00","290.25","297.00","291.30","291.70","293.38","298.25","97.75","4,08,44,804","11,98,29,35,600.00","2,82,718"
"23-Sep-2024","EQ","292.00","298.25","290.55","290.50","297.35","297.00","294.69","298.25","97.75","4,87,61,823","14,36,97,71,611.05","3,46,300"
"20-Sep-2024","EQ","279.00","293.00","278.95","278.85","289.85","290.50","288.29","293.00","97.75","8,44,16,068","24,33,64,78,716.40","4,42,729"
"19-Sep-2024","EQ","276.50","280.95","272.25","275.85","278.95","278.85","277.19","286.45","97.75","4,82,25,291","13,36,74,62,603.75","3,21,377"
"18-Sep-2024","EQ","270.65","277.85","269.90","270.75","275.25","275.85","274.73","286.45","97.75","3,02,25,926","8,30,38,90,608.35","2,21,991"
"17-Sep-2024","EQ","277.65","278.00","270.00","277.70","270.65","270.75","272.72","286.45","97.75","3,35,15,464","9,14,02,09,068.80","2,49,033"
"16-Sep-2024","EQ","274.50","282.00","269.20","272.90","278.00","277.70","273.97","286.45","97.75","4,77,92,145","13,09,37,01,990.45","2,96,451"
"13-Sep-2024","EQ","285.40","286.45","271.10","283.90","273.50","272.90","277.55","286.45","96.50","8,21,50,759","22,80,08,40,116.80","5,07,677"
"12-Sep-2024","EQ","276.30","286.00","274.30","271.75","283.30","283.90","281.66","286.00","96.50","10,16,91,858","28,64,28,42,848.40","5,88,153"
"11-Sep-2024","EQ","268.25","281.50","268.10","267.70","272.40","271.75","275.91","281.50","96.50","12,18,83,781","33,62,85,36,946.40","5,51,525"
"10-Sep-2024","EQ","265.85","270.30","259.55","263.20","267.15","267.70","265.56","280.90","96.50","6,86,58,961","18,23,31,26,456.25","3,74,474"
