"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"08-May-2025","EQ","949.00","969.00","941.10","949.00","946.00","951.05","962.45","1,060.00","700.00","10,61,405","1,02,15,53,631.90","26,792"
"07-May-2025","EQ","920.00","957.85","920.00","949.50","948.20","949.00","949.00","1,060.00","700.00","5,97,512","56,70,39,143.75","15,520"
"06-May-2025","EQ","948.90","952.65","940.00","946.65","949.60","949.50","947.69","1,060.00","700.00","2,31,524","21,94,13,683.15","13,886"
"05-May-2025","EQ","945.95","959.25","939.25","941.70","945.10","946.65","947.42","1,060.00","700.00","4,94,431","46,84,33,424.70","18,882"
"02-May-2025","EQ","950.80","950.80","936.00","943.60","941.70","941.70","940.69","1,060.00","700.00","2,75,473","25,91,35,247.50","12,877"
"30-Apr-2025","EQ","947.05","957.35","941.90","956.85","943.45","943.60","947.84","1,060.00","700.00","4,09,493","38,81,33,227.90","9,809"
"29-Apr-2025","EQ","970.00","974.50","947.30","966.80","957.95","956.85","957.15","1,060.00","700.00","5,76,207","55,15,15,267.60","27,608"
"28-Apr-2025","EQ","974.95","974.95","961.80","968.65","972.90","966.80","968.47","1,060.00","700.00","6,35,441","61,54,08,103.10","17,940"
"25-Apr-2025","EQ","984.65","985.00","947.05","987.55","965.60","968.65","966.66","1,060.00","700.00","6,60,141","63,81,35,046.25","21,343"
"24-Apr-2025","EQ","990.00","1,011.00","978.40","976.70","984.80","987.55","993.36","1,060.00","700.00","12,45,410","1,23,71,35,026.70","40,238"
"23-Apr-2025","EQ","981.00","990.95","970.00","978.55","976.00","976.70","977.68","1,060.00","700.00","5,38,445","52,64,27,453.30","21,152"
"22-Apr-2025","EQ","977.00","993.50","975.15","982.00","978.00","978.55","984.05","1,060.00","700.00","5,09,738","50,16,09,108.75","16,214"
"21-Apr-2025","EQ","967.35","989.95","965.60","967.35","981.45","982.00","980.06","1,060.00","700.00","4,94,833","48,49,67,512.25","16,369"
"17-Apr-2025","EQ","963.00","972.10","954.45","962.20","961.25","967.35","964.38","1,060.00","700.00","2,18,856","21,10,59,379.15","9,516"
"16-Apr-2025","EQ","973.00","981.50","958.05","969.30","959.90","962.20","970.22","1,060.00","700.00","4,36,030","42,30,44,067.25","19,273"
"15-Apr-2025","EQ","936.85","971.75","936.80","936.85","970.00","969.30","961.44","1,060.00","700.00","7,53,582","72,45,25,819.50","41,222"
"11-Apr-2025","EQ","948.70","957.70","931.60","941.10","938.00","936.85","940.28","1,060.00","700.00","4,18,488","39,34,95,446.25","18,268"
