Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
01-Nov-24,EQ,149.66,150.25,149,148.56,149.7,149.75,149.85,184.6,114.6,"51,06,804","76,52,48,053.69","90,862"
31-Oct-24,EQ,149.08,149.95,148.2,148.97,148.33,148.56,148.87,184.6,114.6,"2,63,83,702","3,92,76,61,607.97","1,92,116"
30-Oct-24,EQ,148.1,150.95,148.1,150.06,148.85,148.97,149.65,184.6,114.6,"2,13,62,130","3,19,69,26,857.03","1,79,907"
29-Oct-24,EQ,149.85,150.45,146.55,149.38,150.1,150.06,148.24,184.6,114.6,"3,22,58,407","4,78,20,62,026.21","2,78,118"
28-Oct-24,EQ,146,149.73,144.73,145.86,149.5,149.38,148.11,184.6,114.6,"2,83,86,897","4,20,44,85,399.50","2,02,518"
25-Oct-24,EQ,149,149.5,144.43,148.98,146.25,145.86,145.89,184.6,114.6,"3,97,30,802","5,79,62,63,940.69","3,02,722"
24-Oct-24,EQ,149.49,149.83,148.01,148.78,149.06,148.98,148.92,184.6,114.6,"2,21,15,070","3,29,34,53,859.18","2,09,076"
23-Oct-24,EQ,150.3,151.95,148.05,150.39,148.69,148.78,149.84,184.6,114.6,"4,21,07,893","6,30,95,47,439.99","2,45,073"
22-Oct-24,EQ,154.9,154.9,150.1,155.03,150.9,150.39,151.88,184.6,114.6,"3,90,79,846","5,93,54,26,865.61","2,28,867"
21-Oct-24,EQ,156.1,157.93,154.59,155.39,155,155.03,155.43,184.6,114.6,"2,57,99,090","4,01,00,16,405.81","1,96,995"
18-Oct-24,EQ,152.4,156.2,151.1,152.4,155.5,155.39,154.3,184.6,114.6,"3,47,50,795","5,36,22,10,491.59","2,12,619"
17-Oct-24,EQ,155.65,156.3,152.1,155.24,152.5,152.4,153.63,184.6,114.6,"2,84,04,223","4,36,37,40,733.71","1,87,556"
16-Oct-24,EQ,155.19,156.55,154.02,155.63,155.1,155.24,155.35,184.6,114.6,"2,85,18,262","4,43,03,22,683.94","2,14,491"
15-Oct-24,EQ,159.5,159.53,155.05,158.32,155.66,155.63,156.14,184.6,114.6,"3,89,64,393","6,08,38,46,366.99","2,61,649"
14-Oct-24,EQ,161.88,163.38,158.04,160.66,158.29,158.32,159.69,184.6,114.6,"3,55,66,857","5,67,98,04,268.10","2,36,374"
11-Oct-24,EQ,159.3,163.78,159.2,159.72,160.85,160.66,161.54,184.6,114.6,"5,32,63,433","8,60,41,75,534.70","2,31,565"
10-Oct-24,EQ,158.3,161.18,156.6,159.06,159.99,159.72,159.82,184.6,114.6,"4,65,07,936","7,43,30,63,758.17","2,85,169"
09-Oct-24,EQ,159.52,162.2,158.11,159.52,158.3,159.06,160.33,184.6,114.6,"4,27,66,218","6,85,69,06,324.55","2,47,518"
08-Oct-24,EQ,163,163.59,156.7,164.36,159.89,159.52,159.07,184.6,114.6,"7,49,56,764","11,92,30,16,296.84","4,92,897"
07-Oct-24,EQ,167.1,167.95,162.33,166.75,164.08,164.36,164.93,184.6,114.6,"4,87,75,098","8,04,43,65,273.28","3,74,772"
04-Oct-24,EQ,167,169.1,164,166.98,166.92,166.75,166.97,184.6,114.6,"5,38,80,875","8,99,64,65,098.83","3,25,032"
03-Oct-24,EQ,165.5,169.99,164.52,167.03,166.99,166.98,167.92,184.6,114.6,"7,59,59,797","12,75,49,92,195.57","4,75,585"
01-Oct-24,EQ,169.49,169.49,165.1,168.55,166.7,167.03,167.13,184.6,114.6,"5,07,61,579","8,48,38,29,166.82","2,85,911"
30-Sep-24,EQ,167.5,170.18,167.26,166.55,168.11,168.55,169.02,184.6,114.6,"9,23,81,529","15,61,46,00,724.62","4,40,055"
27-Sep-24,EQ,167,169.01,165.89,165.61,166.13,166.55,167.16,184.6,114.6,"7,27,95,668","12,16,87,93,625.37","3,90,367"
26-Sep-24,EQ,162,165.9,160.48,161.66,165.41,165.61,164.02,184.6,114.6,"8,86,61,662","14,54,21,31,498.26","4,02,853"
25-Sep-24,EQ,161.5,162.69,159.52,160.53,161.53,161.66,161.19,184.6,114.6,"5,80,44,967","9,35,62,42,523.27","3,45,741"
24-Sep-24,EQ,155.15,161.5,154.85,153.99,160.65,160.53,159.11,184.6,114.6,"13,74,14,352","21,86,40,32,282.12","5,60,847"
23-Sep-24,EQ,154.38,154.39,152.8,152.02,153.85,153.99,153.57,184.6,114.6,"3,32,81,905","5,11,11,94,267.46","2,32,550"
20-Sep-24,EQ,151,153.34,150.65,149.54,152.1,152.02,152.14,184.6,114.6,"5,38,73,369","8,19,61,75,102.12","2,75,747"
19-Sep-24,EQ,151.89,152.19,147.79,150.6,150.08,149.54,149.59,184.6,114.6,"3,69,13,781","5,52,18,18,580.40","2,76,513"
18-Sep-24,EQ,152.4,152.98,149.61,152.82,150.55,150.6,151.06,184.6,114.6,"2,48,56,345","3,75,48,98,081.08","1,93,657"
