"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"08-Nov-2024","EQ","565.00","578.80","565.00","563.40","568.60","569.00","572.86","579.90","377.00","1,04,26,329","5,97,27,91,779.60","1,83,221"
"07-Nov-2024","EQ","566.00","569.70","554.45","563.90","563.00","563.40","562.51","579.90","377.00","59,98,571","3,37,42,30,528.25","1,04,332"
"06-Nov-2024","EQ","547.45","565.85","541.00","543.70","565.00","563.90","558.38","579.90","377.00","97,77,442","5,45,95,48,569.35","1,42,103"
"05-Nov-2024","EQ","543.00","545.35","540.40","540.80","544.00","543.70","543.01","579.90","377.00","34,31,130","1,86,31,33,921.85","1,04,857"
"04-Nov-2024","EQ","551.00","552.45","534.20","551.35","541.80","540.80","540.79","579.90","377.00","49,27,780","2,66,49,00,712.70","1,02,676"
"01-Nov-2024","EQ","551.70","554.90","550.00","551.80","551.50","551.35","552.16","579.90","377.00","9,81,405","54,18,92,872.50","28,631"
"31-Oct-2024","EQ","564.80","566.30","548.30","565.25","553.10","551.80","552.84","579.90","377.00","78,40,047","4,33,43,04,399.85","1,17,481"
"30-Oct-2024","EQ","562.50","578.75","561.10","562.20","566.50","565.25","570.96","579.90","377.00","1,03,77,746","5,92,52,81,460.65","1,45,868"
"29-Oct-2024","EQ","559.80","563.40","553.25","558.60","561.05","562.20","558.81","579.90","377.00","60,27,815","3,36,83,79,485.35","99,440"
"28-Oct-2024","EQ","543.45","559.80","542.70","543.45","559.20","558.60","555.10","579.90","377.00","55,92,929","3,10,46,43,637.45","1,12,113"
"25-Oct-2024","EQ","549.75","552.00","540.50","546.90","544.80","543.45","544.24","579.90","375.05","50,62,270","2,75,51,14,012.80","79,747"
"24-Oct-2024","EQ","547.20","550.50","545.15","547.20","547.60","546.90","547.13","579.90","375.05","47,88,302","2,61,98,11,932.30","73,877"
"23-Oct-2024","EQ","547.50","554.50","542.20","545.45","547.15","547.20","549.71","579.90","375.05","63,49,288","3,49,02,47,134.85","96,079"
"22-Oct-2024","EQ","549.80","555.50","543.85","548.10","546.00","545.45","548.86","579.90","375.05","92,39,150","5,07,10,42,569.75","1,35,345"
"21-Oct-2024","EQ","551.60","561.90","547.00","548.65","547.20","548.10","553.56","579.90","375.05","1,19,83,482","6,63,35,86,475.55","1,97,938"
"18-Oct-2024","EQ","532.00","558.40","524.80","528.75","547.75","548.65","548.90","579.90","375.05","3,73,26,527","20,48,86,12,199.20","4,30,239"
"17-Oct-2024","EQ","534.95","538.00","525.05","532.15","528.70","528.75","532.52","579.90","375.05","1,18,77,639","6,32,51,37,029.50","1,23,685"
"16-Oct-2024","EQ","533.00","538.80","529.00","532.95","532.50","532.15","533.41","579.90","375.05","62,76,811","3,34,80,85,618.80","89,889"
"15-Oct-2024","EQ","552.85","552.85","530.85","549.55","532.70","532.95","538.03","579.90","375.05","1,08,00,626","5,81,11,04,306.65","1,39,212"
"14-Oct-2024","EQ","538.70","551.85","536.30","528.30","550.70","549.55","544.54","579.90","375.05","1,65,68,133","9,02,20,59,506.25","4,02,524"
"11-Oct-2024","EQ","520.35","534.40","520.35","525.00","528.45","528.30","527.76","579.90","375.05","42,18,491","2,22,63,69,252.65","67,047"
"10-Oct-2024","EQ","535.00","537.60","523.45","531.15","526.10","525.00","529.10","579.90","375.05","63,10,122","3,33,86,57,218.35","1,28,185"
"09-Oct-2024","EQ","529.80","538.70","528.50","526.95","532.80","531.15","533.63","579.90","375.05","44,20,844","2,35,90,82,210.95","75,937"
"08-Oct-2024","EQ","531.55","533.80","520.30","531.45","528.25","526.95","524.68","579.90","375.05","57,51,402","3,01,76,39,913.05","99,618"
"07-Oct-2024","EQ","538.00","541.70","525.95","533.55","530.55","531.45","532.53","579.90","375.05","49,39,037","2,63,02,02,954.55","86,426"
"04-Oct-2024","EQ","528.05","541.95","528.05","530.15","533.60","533.55","536.37","579.90","375.05","59,61,377","3,19,75,06,692.45","90,123"
"03-Oct-2024","EQ","540.10","542.40","526.25","546.75","529.80","530.15","533.10","579.90","375.05","70,17,684","3,74,11,23,907.35","1,28,928"
"01-Oct-2024","EQ","540.20","549.60","540.20","541.45","546.05","546.75","546.75","579.90","375.05","47,05,637","2,57,27,88,788.70","73,430"
"30-Sep-2024","EQ","538.00","544.50","534.00","541.80","540.40","541.45","541.10","579.90","375.05","40,99,723","2,21,83,59,319.30","72,853"
